job,marital,education,housing,loan,contact,campaign,poutcome,y
management,married,tertiary,no,no,cellular,1,unknown,no
blue-collar,married,secondary,no,yes,unknown,1,failure,no
blue-collar,single,secondary,yes,no,cellular,1,unknown,no
management,single,tertiary,no,no,cellular,1,other,no
technician,married,secondary,no,no,cellular,2,failure,yes
blue-collar,divorced,primary,no,yes,cellular,6,unknown,no
technician,married,secondary,no,no,cellular,2,other,yes
technician,married,secondary,yes,no,cellular,2,failure,no
technician,single,secondary,no,no,cellular,1,unknown,no
technician,divorced,secondary,no,yes,cellular,3,unknown,no
admin.,married,secondary,yes,no,cellular,1,unknown,no
management,married,tertiary,yes,no,unknown,4,unknown,no
technician,single,tertiary,yes,no,cellular,5,failure,no
retired,married,secondary,no,no,unknown,1,unknown,no
management,single,tertiary,yes,no,telephone,3,unknown,no
entrepreneur,married,secondary,no,yes,cellular,1,unknown,no
entrepreneur,married,tertiary,no,no,unknown,1,unknown,no
technician,married,tertiary,no,no,cellular,7,failure,no
technician,married,tertiary,no,no,cellular,2,unknown,no
technician,married,unknown,no,no,cellular,1,success,yes
blue-collar,divorced,secondary,yes,no,unknown,1,unknown,no
retired,married,secondary,no,no,cellular,3,unknown,no
management,single,unknown,no,no,cellular,1,unknown,no
technician,divorced,secondary,no,no,cellular,3,unknown,no
management,single,tertiary,yes,no,cellular,2,failure,no
management,married,tertiary,no,no,cellular,3,unknown,no
admin.,single,secondary,yes,no,cellular,1,unknown,no
management,divorced,tertiary,yes,yes,cellular,1,unknown,no
services,single,secondary,yes,yes,cellular,3,unknown,no
blue-collar,married,primary,no,no,cellular,1,unknown,no
retired,married,tertiary,yes,yes,unknown,1,unknown,yes
services,single,secondary,yes,no,cellular,2,other,no
blue-collar,married,secondary,yes,no,unknown,1,unknown,no
technician,divorced,secondary,no,no,cellular,12,unknown,no
entrepreneur,divorced,primary,yes,no,unknown,2,unknown,no
management,single,tertiary,yes,no,unknown,5,unknown,no
technician,married,secondary,yes,no,unknown,1,unknown,no
management,divorced,tertiary,no,no,cellular,1,unknown,yes
housemaid,married,primary,yes,yes,cellular,2,unknown,no
management,married,tertiary,yes,no,cellular,3,unknown,no
self-employed,married,primary,yes,no,telephone,2,unknown,no
management,married,tertiary,no,no,cellular,2,unknown,no
blue-collar,married,secondary,yes,yes,cellular,10,unknown,no
management,single,tertiary,no,no,cellular,3,unknown,no
retired,married,secondary,no,no,unknown,2,unknown,no
technician,divorced,secondary,yes,no,cellular,2,unknown,no
admin.,married,secondary,no,no,cellular,1,unknown,yes
admin.,married,secondary,no,no,cellular,4,unknown,no
management,divorced,tertiary,yes,no,telephone,3,unknown,no
admin.,married,secondary,no,yes,cellular,1,failure,no
technician,single,tertiary,no,no,cellular,4,unknown,no
blue-collar,married,secondary,yes,yes,unknown,6,unknown,no
blue-collar,married,unknown,no,no,cellular,2,unknown,no
management,single,tertiary,no,no,cellular,4,unknown,no
management,single,tertiary,yes,no,cellular,1,failure,no
blue-collar,divorced,secondary,no,no,unknown,5,unknown,no
unemployed,single,tertiary,no,no,cellular,1,unknown,no
services,married,secondary,yes,yes,unknown,1,unknown,no
unemployed,married,secondary,yes,no,cellular,4,other,no
self-employed,single,tertiary,no,no,cellular,3,unknown,no
blue-collar,married,secondary,yes,yes,cellular,1,unknown,no
technician,single,tertiary,no,no,cellular,1,success,yes
blue-collar,married,secondary,yes,no,unknown,1,success,no
management,married,tertiary,yes,no,unknown,1,unknown,yes
admin.,married,secondary,no,no,cellular,2,unknown,no
management,married,tertiary,no,no,unknown,1,unknown,no
admin.,single,secondary,no,no,cellular,1,unknown,no
blue-collar,married,secondary,yes,no,unknown,7,unknown,no
technician,single,secondary,yes,no,cellular,1,success,no
management,married,tertiary,yes,no,unknown,3,unknown,no
housemaid,married,primary,no,no,unknown,3,unknown,no
management,married,tertiary,yes,no,cellular,2,failure,no
self-employed,single,tertiary,no,no,cellular,2,unknown,yes
blue-collar,divorced,secondary,yes,no,cellular,3,unknown,no
management,married,tertiary,no,no,cellular,1,unknown,yes
technician,married,tertiary,yes,no,cellular,4,unknown,yes
services,married,secondary,no,no,cellular,1,success,yes
management,married,tertiary,yes,no,unknown,2,unknown,no
self-employed,married,secondary,yes,no,unknown,3,unknown,no
technician,married,secondary,no,no,cellular,4,unknown,no
admin.,married,secondary,yes,no,unknown,2,unknown,no
technician,married,tertiary,no,no,cellular,2,success,no
technician,married,secondary,yes,no,cellular,3,unknown,no
blue-collar,married,primary,no,no,unknown,1,unknown,no
technician,single,secondary,no,no,cellular,2,unknown,no
retired,divorced,tertiary,no,no,unknown,1,unknown,yes
blue-collar,married,secondary,yes,no,cellular,3,unknown,no
entrepreneur,single,secondary,no,yes,cellular,4,unknown,no
blue-collar,single,secondary,yes,no,cellular,1,failure,no
management,married,secondary,yes,no,cellular,1,failure,no
self-employed,married,tertiary,no,no,cellular,5,failure,no
blue-collar,married,primary,no,no,telephone,1,unknown,no
management,married,tertiary,no,no,telephone,3,unknown,no
technician,divorced,secondary,no,no,cellular,1,unknown,no
management,single,tertiary,yes,no,cellular,1,unknown,no
self-employed,married,secondary,yes,no,unknown,1,unknown,no
technician,married,secondary,no,no,cellular,2,unknown,no
services,divorced,secondary,yes,no,cellular,2,unknown,no
retired,married,primary,yes,no,unknown,8,unknown,no
entrepreneur,married,tertiary,yes,yes,cellular,3,unknown,no
blue-collar,married,unknown,no,no,cellular,1,failure,no
management,married,tertiary,no,no,cellular,3,unknown,yes
entrepreneur,married,primary,yes,no,unknown,5,unknown,no
management,married,tertiary,no,yes,cellular,2,unknown,no
retired,single,secondary,no,yes,cellular,6,failure,no
admin.,divorced,secondary,yes,no,cellular,1,failure,no
admin.,single,secondary,no,no,cellular,4,unknown,no
management,single,tertiary,no,no,cellular,8,failure,yes
self-employed,married,secondary,yes,no,cellular,6,unknown,no
services,married,secondary,no,no,unknown,2,unknown,no
technician,single,secondary,no,no,cellular,1,unknown,no
management,single,tertiary,no,no,cellular,3,success,no
blue-collar,married,primary,yes,yes,unknown,1,unknown,no
unknown,married,unknown,no,no,unknown,8,unknown,no
blue-collar,married,primary,no,no,telephone,2,unknown,no
admin.,married,tertiary,no,no,cellular,1,unknown,no
self-employed,married,secondary,yes,no,cellular,4,unknown,no
admin.,single,secondary,no,yes,cellular,1,unknown,no
management,divorced,tertiary,yes,yes,unknown,1,other,no
services,single,secondary,yes,no,unknown,2,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,failure,no
admin.,divorced,secondary,yes,yes,cellular,3,other,no
blue-collar,single,secondary,yes,no,unknown,1,unknown,no
admin.,married,secondary,yes,no,cellular,1,unknown,no
blue-collar,single,primary,yes,no,unknown,5,unknown,no
retired,divorced,secondary,no,no,cellular,7,unknown,yes
services,divorced,secondary,yes,no,cellular,1,unknown,no
technician,single,secondary,yes,no,unknown,2,unknown,no
blue-collar,married,secondary,yes,no,unknown,2,unknown,no
management,married,tertiary,yes,no,unknown,4,unknown,no
services,married,secondary,yes,yes,cellular,5,unknown,no
admin.,single,secondary,no,yes,cellular,2,unknown,no
admin.,married,primary,yes,no,cellular,1,unknown,no
blue-collar,married,primary,yes,yes,cellular,1,unknown,no
blue-collar,single,secondary,yes,yes,cellular,2,unknown,no
services,married,secondary,yes,no,cellular,1,failure,no
student,single,unknown,no,no,cellular,1,unknown,no
blue-collar,married,primary,yes,no,cellular,2,failure,no
retired,married,primary,no,no,cellular,1,unknown,no
entrepreneur,single,tertiary,yes,yes,cellular,1,unknown,no
admin.,single,secondary,yes,no,cellular,1,unknown,no
management,married,tertiary,yes,no,cellular,1,unknown,no
management,married,tertiary,yes,no,cellular,4,unknown,no
services,married,secondary,yes,no,cellular,2,unknown,no
blue-collar,married,primary,no,no,cellular,4,unknown,yes
management,divorced,secondary,yes,yes,unknown,1,unknown,no
admin.,married,secondary,yes,no,cellular,2,unknown,no
entrepreneur,married,secondary,no,no,cellular,2,unknown,no
entrepreneur,married,secondary,yes,no,unknown,1,unknown,no
unemployed,divorced,primary,no,no,cellular,4,unknown,no
technician,married,secondary,yes,yes,cellular,2,unknown,no
services,divorced,secondary,yes,no,unknown,2,unknown,no
blue-collar,married,primary,no,yes,unknown,7,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,unknown,no
services,single,secondary,yes,no,cellular,3,unknown,no
services,single,secondary,no,yes,cellular,5,unknown,no
blue-collar,married,primary,yes,yes,telephone,2,unknown,no
blue-collar,married,primary,yes,yes,cellular,2,other,no
technician,married,secondary,yes,no,unknown,2,unknown,no
unemployed,married,primary,yes,no,cellular,3,unknown,no
unemployed,married,tertiary,no,no,cellular,8,unknown,no
unknown,married,unknown,no,no,cellular,1,unknown,yes
unemployed,married,secondary,yes,no,cellular,3,unknown,no
admin.,married,secondary,no,no,cellular,5,unknown,no
technician,single,secondary,no,no,unknown,2,unknown,yes
admin.,married,secondary,yes,no,unknown,1,unknown,no
blue-collar,married,secondary,yes,no,unknown,2,unknown,no
technician,divorced,secondary,no,no,cellular,4,unknown,no
services,divorced,secondary,yes,no,unknown,1,unknown,no
blue-collar,divorced,primary,yes,yes,cellular,4,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,other,no
management,divorced,tertiary,no,no,cellular,9,other,yes
admin.,divorced,secondary,no,no,cellular,1,unknown,yes
blue-collar,married,secondary,yes,no,unknown,1,unknown,no
management,married,tertiary,yes,no,cellular,1,failure,no
technician,single,tertiary,yes,no,unknown,1,unknown,no
entrepreneur,married,primary,yes,no,cellular,2,unknown,no
blue-collar,married,primary,no,no,unknown,2,unknown,no
admin.,married,secondary,no,yes,cellular,3,unknown,no
blue-collar,married,primary,yes,no,unknown,1,unknown,no
services,married,secondary,yes,no,cellular,2,unknown,no
management,single,tertiary,yes,no,telephone,2,unknown,no
management,married,tertiary,yes,no,cellular,4,unknown,yes
blue-collar,married,secondary,yes,no,unknown,2,unknown,no
admin.,married,primary,no,no,unknown,2,unknown,no
blue-collar,married,primary,yes,no,cellular,2,unknown,no
technician,divorced,secondary,yes,yes,cellular,3,unknown,no
technician,married,secondary,no,no,telephone,2,unknown,no
management,divorced,tertiary,no,no,unknown,2,unknown,no
entrepreneur,married,unknown,yes,no,unknown,2,unknown,no
management,single,tertiary,no,no,cellular,2,unknown,no
entrepreneur,married,secondary,no,no,unknown,1,unknown,no
management,single,tertiary,no,no,cellular,5,unknown,yes
student,single,secondary,yes,no,cellular,3,unknown,no
blue-collar,married,secondary,no,no,unknown,3,unknown,no
retired,divorced,secondary,no,no,cellular,2,unknown,yes
management,single,tertiary,yes,no,unknown,16,unknown,no
blue-collar,married,secondary,yes,no,unknown,1,unknown,no
management,married,unknown,no,no,cellular,1,success,yes
entrepreneur,married,tertiary,no,no,unknown,2,unknown,no
blue-collar,married,primary,yes,yes,unknown,4,unknown,no
services,married,secondary,no,yes,cellular,3,unknown,no
blue-collar,married,secondary,no,no,unknown,1,unknown,no
technician,married,tertiary,no,no,telephone,15,unknown,no
management,married,secondary,yes,no,cellular,1,failure,no
student,married,unknown,no,no,unknown,1,unknown,no
services,married,secondary,yes,no,cellular,2,failure,no
retired,married,secondary,no,no,telephone,1,failure,yes
management,single,tertiary,yes,no,unknown,1,unknown,no
services,married,primary,yes,no,unknown,7,unknown,no
blue-collar,married,tertiary,no,no,unknown,1,unknown,no
management,married,tertiary,yes,no,cellular,1,unknown,no
self-employed,single,secondary,yes,no,cellular,2,unknown,no
technician,married,secondary,no,no,cellular,4,unknown,no
management,married,secondary,yes,no,cellular,2,unknown,yes
management,married,tertiary,no,no,telephone,2,failure,no
services,married,secondary,no,no,cellular,1,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,unknown,no
blue-collar,married,primary,yes,no,cellular,1,failure,no
entrepreneur,married,tertiary,yes,no,cellular,1,failure,no
management,single,tertiary,yes,no,cellular,1,unknown,no
services,married,unknown,yes,no,unknown,2,unknown,no
blue-collar,divorced,primary,yes,no,telephone,2,failure,no
management,single,tertiary,no,no,unknown,1,unknown,no
admin.,single,secondary,no,no,cellular,2,unknown,no
blue-collar,married,secondary,yes,no,cellular,2,unknown,no
self-employed,married,secondary,no,no,cellular,2,unknown,no
admin.,married,secondary,yes,no,cellular,2,unknown,yes
technician,single,secondary,yes,no,unknown,2,unknown,no
management,single,tertiary,no,no,unknown,2,unknown,yes
blue-collar,married,primary,no,no,unknown,1,unknown,no
blue-collar,single,secondary,yes,yes,cellular,5,unknown,no
management,single,tertiary,no,no,cellular,2,failure,no
services,married,secondary,no,no,cellular,1,unknown,no
technician,single,tertiary,no,no,cellular,2,unknown,no
technician,married,secondary,no,yes,cellular,5,unknown,no
services,married,secondary,yes,no,unknown,1,unknown,no
admin.,married,secondary,yes,yes,cellular,1,success,yes
technician,married,secondary,yes,no,unknown,1,other,yes
management,single,secondary,no,no,cellular,1,unknown,yes
management,divorced,tertiary,yes,no,cellular,2,failure,no
admin.,married,secondary,yes,no,cellular,1,failure,no
self-employed,married,tertiary,yes,no,unknown,2,unknown,no
management,married,tertiary,no,yes,cellular,2,unknown,no
retired,married,primary,no,no,telephone,1,failure,yes
services,divorced,primary,yes,no,unknown,2,unknown,no
management,divorced,tertiary,no,no,cellular,3,unknown,no
student,single,secondary,no,no,telephone,9,unknown,no
technician,married,tertiary,no,no,cellular,2,unknown,no
blue-collar,married,primary,yes,no,cellular,2,unknown,no
admin.,single,secondary,no,no,cellular,1,other,no
management,single,tertiary,no,yes,cellular,1,unknown,no
admin.,single,secondary,yes,no,cellular,1,unknown,no
technician,married,secondary,no,no,cellular,1,unknown,no
housemaid,married,primary,yes,no,cellular,3,unknown,no
technician,single,secondary,yes,no,cellular,4,unknown,no
admin.,single,tertiary,no,no,cellular,1,unknown,no
services,married,secondary,yes,no,unknown,1,unknown,no
self-employed,married,tertiary,yes,yes,unknown,30,unknown,no
management,married,tertiary,yes,no,cellular,3,unknown,no
blue-collar,married,primary,yes,yes,cellular,4,unknown,no
management,married,tertiary,yes,no,cellular,3,unknown,no
technician,married,secondary,yes,no,cellular,4,unknown,no
self-employed,single,tertiary,no,no,unknown,2,unknown,no
retired,divorced,unknown,no,no,cellular,2,unknown,no
technician,divorced,secondary,yes,no,unknown,4,unknown,no
technician,single,secondary,no,no,cellular,1,unknown,no
technician,divorced,tertiary,yes,no,unknown,1,unknown,no
blue-collar,married,primary,no,no,cellular,5,unknown,no
self-employed,married,secondary,no,no,cellular,2,success,no
technician,married,secondary,no,no,unknown,1,unknown,no
management,single,tertiary,yes,no,cellular,1,unknown,no
blue-collar,married,primary,yes,no,cellular,2,unknown,no
blue-collar,married,primary,yes,no,cellular,4,unknown,no
admin.,married,secondary,no,no,cellular,1,other,yes
blue-collar,married,secondary,yes,no,cellular,6,other,no
services,married,secondary,no,no,cellular,2,unknown,no
admin.,married,secondary,yes,no,cellular,1,failure,no
management,married,tertiary,yes,no,unknown,1,unknown,no
blue-collar,married,primary,yes,no,unknown,1,unknown,no
admin.,married,secondary,yes,no,unknown,4,unknown,no
services,married,secondary,yes,no,cellular,2,failure,no
management,single,tertiary,yes,no,cellular,4,failure,no
services,divorced,secondary,yes,no,telephone,1,unknown,no
management,married,tertiary,no,yes,cellular,1,unknown,no
blue-collar,married,unknown,yes,no,unknown,2,unknown,no
services,single,secondary,no,no,telephone,1,other,no
blue-collar,married,secondary,yes,no,unknown,1,unknown,no
retired,married,primary,no,no,cellular,4,unknown,no
technician,single,secondary,yes,yes,unknown,1,unknown,no
technician,married,tertiary,no,no,cellular,2,unknown,yes
blue-collar,married,secondary,yes,no,unknown,1,unknown,no
blue-collar,married,secondary,yes,no,unknown,4,unknown,no
technician,single,secondary,no,yes,cellular,1,failure,no
technician,single,tertiary,no,no,cellular,3,unknown,no
technician,married,secondary,no,no,telephone,3,unknown,no
management,married,unknown,yes,no,telephone,7,unknown,no
management,divorced,tertiary,yes,no,cellular,1,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,unknown,no
management,married,tertiary,no,no,cellular,5,unknown,no
blue-collar,married,primary,yes,no,cellular,2,other,no
admin.,single,secondary,no,no,unknown,1,unknown,no
unemployed,single,tertiary,yes,no,unknown,3,unknown,no
blue-collar,divorced,unknown,yes,no,cellular,5,unknown,no
blue-collar,married,secondary,yes,no,unknown,1,unknown,no
technician,divorced,secondary,yes,no,unknown,6,unknown,no
blue-collar,single,secondary,yes,no,cellular,1,other,yes
admin.,divorced,unknown,no,no,cellular,1,unknown,no
blue-collar,married,primary,yes,no,cellular,1,unknown,no
blue-collar,divorced,secondary,yes,no,unknown,2,unknown,no
retired,divorced,primary,no,no,cellular,1,unknown,no
blue-collar,single,secondary,yes,no,unknown,2,unknown,no
blue-collar,married,primary,yes,no,unknown,2,unknown,no
services,single,secondary,yes,no,cellular,3,unknown,yes
management,single,tertiary,yes,no,cellular,1,unknown,no
technician,single,tertiary,yes,no,cellular,1,unknown,no
admin.,married,secondary,yes,no,cellular,1,success,no
retired,married,secondary,no,no,telephone,5,unknown,no
admin.,divorced,secondary,yes,no,unknown,1,unknown,no
student,single,tertiary,no,no,cellular,5,other,no
management,married,tertiary,no,no,cellular,3,success,yes
entrepreneur,married,secondary,no,yes,cellular,11,other,no
self-employed,married,secondary,yes,yes,unknown,3,unknown,no
services,married,secondary,yes,no,cellular,3,unknown,no
blue-collar,married,primary,yes,no,unknown,4,unknown,no
blue-collar,married,secondary,yes,no,unknown,1,unknown,no
retired,single,secondary,yes,no,unknown,5,unknown,yes
unknown,married,primary,no,no,cellular,2,unknown,no
blue-collar,single,secondary,yes,no,unknown,25,unknown,no
admin.,single,secondary,yes,no,cellular,2,unknown,no
retired,married,secondary,no,no,telephone,3,unknown,yes
entrepreneur,married,tertiary,yes,no,cellular,1,unknown,no
retired,married,tertiary,no,no,cellular,1,success,yes
retired,married,primary,no,yes,telephone,5,unknown,no
blue-collar,married,secondary,yes,yes,unknown,1,unknown,no
housemaid,divorced,primary,no,no,unknown,1,unknown,yes
unknown,married,unknown,no,no,cellular,2,unknown,no
retired,married,primary,no,no,cellular,3,success,no
technician,single,secondary,yes,no,cellular,2,unknown,no
technician,divorced,primary,yes,no,cellular,2,failure,no
self-employed,married,secondary,yes,no,cellular,2,unknown,no
technician,single,tertiary,yes,no,unknown,2,unknown,yes
admin.,married,secondary,yes,no,cellular,9,unknown,no
blue-collar,married,secondary,yes,no,unknown,4,unknown,no
management,married,tertiary,yes,yes,cellular,2,unknown,yes
self-employed,married,secondary,no,no,cellular,2,unknown,no
services,married,secondary,no,no,cellular,3,unknown,no
technician,married,secondary,yes,no,cellular,1,unknown,no
admin.,married,secondary,yes,no,cellular,1,unknown,no
services,single,primary,yes,no,unknown,6,unknown,yes
technician,married,tertiary,no,no,cellular,2,unknown,no
admin.,married,secondary,yes,yes,unknown,1,unknown,no
management,married,tertiary,no,no,cellular,1,failure,no
management,married,tertiary,yes,no,cellular,1,unknown,yes
technician,single,secondary,no,no,cellular,2,unknown,no
technician,married,unknown,no,no,cellular,3,unknown,no
technician,single,tertiary,yes,no,cellular,1,unknown,no
unknown,married,secondary,no,no,cellular,3,unknown,no
technician,married,secondary,yes,no,unknown,2,unknown,no
blue-collar,married,secondary,no,yes,cellular,2,unknown,yes
services,married,secondary,yes,no,cellular,5,unknown,no
admin.,married,tertiary,no,yes,cellular,2,unknown,no
services,divorced,secondary,no,no,cellular,2,unknown,yes
management,married,tertiary,yes,no,cellular,5,failure,no
technician,married,secondary,no,no,cellular,1,success,yes
blue-collar,married,primary,no,no,cellular,1,unknown,no
technician,single,tertiary,yes,no,cellular,1,other,no
services,married,secondary,yes,no,telephone,4,unknown,no
blue-collar,married,secondary,yes,no,unknown,2,unknown,no
admin.,divorced,secondary,no,no,cellular,3,unknown,no
management,married,tertiary,no,no,unknown,1,unknown,no
blue-collar,single,secondary,yes,no,cellular,3,unknown,no
services,married,secondary,yes,no,unknown,1,unknown,no
technician,single,tertiary,yes,no,cellular,1,failure,no
blue-collar,married,primary,no,no,cellular,1,unknown,no
self-employed,married,tertiary,no,no,cellular,2,unknown,no
management,single,secondary,yes,no,unknown,11,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,failure,no
technician,single,tertiary,yes,no,unknown,7,unknown,no
entrepreneur,married,primary,yes,yes,unknown,1,unknown,no
technician,single,secondary,no,no,cellular,2,success,yes
technician,married,secondary,yes,no,unknown,2,unknown,no
entrepreneur,married,primary,yes,no,cellular,2,unknown,no
management,married,tertiary,no,no,cellular,13,unknown,no
unknown,single,tertiary,no,no,telephone,4,unknown,no
admin.,single,secondary,no,no,cellular,3,unknown,no
technician,married,secondary,yes,no,cellular,1,unknown,no
technician,married,tertiary,yes,no,cellular,21,unknown,no
technician,single,tertiary,no,yes,cellular,15,unknown,no
services,single,secondary,no,no,cellular,1,unknown,no
blue-collar,married,secondary,yes,yes,cellular,11,unknown,no
unemployed,single,secondary,no,no,cellular,1,unknown,no
retired,married,tertiary,no,yes,cellular,1,unknown,no
blue-collar,divorced,primary,no,no,telephone,2,unknown,no
management,married,tertiary,no,yes,unknown,1,unknown,no
services,married,secondary,yes,no,cellular,4,unknown,no
technician,married,secondary,no,no,unknown,1,unknown,yes
admin.,married,secondary,no,no,cellular,3,unknown,no
retired,married,secondary,yes,yes,cellular,2,unknown,no
admin.,divorced,secondary,no,no,cellular,4,unknown,yes
admin.,married,secondary,no,no,telephone,2,unknown,no
entrepreneur,single,secondary,no,no,cellular,3,unknown,no
management,married,tertiary,no,yes,telephone,1,unknown,no
technician,single,secondary,no,no,unknown,2,unknown,no
admin.,divorced,secondary,no,no,cellular,1,unknown,yes
technician,married,secondary,yes,no,cellular,1,failure,no
unemployed,single,secondary,no,no,cellular,2,unknown,no
admin.,single,secondary,no,no,cellular,5,unknown,no
blue-collar,married,secondary,yes,no,cellular,5,unknown,no
technician,married,secondary,yes,yes,cellular,3,unknown,no
housemaid,married,primary,yes,no,telephone,1,unknown,no
self-employed,married,tertiary,yes,no,cellular,4,unknown,no
unknown,married,unknown,no,no,telephone,1,unknown,no
technician,married,secondary,no,no,cellular,1,failure,no
unemployed,married,secondary,yes,no,unknown,1,unknown,no
management,married,tertiary,no,no,cellular,2,other,no
blue-collar,married,secondary,yes,no,cellular,3,failure,no
entrepreneur,married,primary,yes,yes,cellular,1,unknown,no
technician,single,secondary,yes,no,cellular,1,unknown,no
blue-collar,married,primary,yes,yes,cellular,2,other,no
blue-collar,single,unknown,yes,no,unknown,3,unknown,no
admin.,married,secondary,no,no,cellular,8,unknown,no
technician,divorced,secondary,yes,no,unknown,1,unknown,no
blue-collar,single,secondary,no,no,cellular,1,unknown,no
management,single,secondary,no,no,cellular,1,unknown,no
services,married,secondary,yes,no,telephone,2,unknown,no
blue-collar,married,primary,yes,no,cellular,1,unknown,no
technician,married,secondary,no,no,cellular,1,unknown,yes
blue-collar,single,secondary,yes,no,unknown,2,unknown,no
management,divorced,tertiary,yes,yes,telephone,1,unknown,yes
services,married,secondary,yes,no,cellular,2,failure,no
technician,single,secondary,no,no,cellular,1,unknown,no
management,married,tertiary,yes,no,cellular,3,unknown,no
blue-collar,divorced,secondary,yes,no,telephone,1,other,no
blue-collar,married,secondary,yes,no,cellular,3,unknown,no
admin.,divorced,secondary,no,no,cellular,1,unknown,no
self-employed,married,secondary,yes,no,cellular,1,failure,no
entrepreneur,married,secondary,no,no,cellular,1,unknown,no
student,single,unknown,no,no,cellular,3,unknown,no
management,married,tertiary,no,yes,cellular,2,unknown,no
admin.,married,secondary,yes,no,telephone,2,unknown,no
blue-collar,married,secondary,no,no,telephone,4,unknown,no
entrepreneur,married,tertiary,no,yes,cellular,7,failure,no
services,single,unknown,yes,no,cellular,1,failure,no
self-employed,married,secondary,yes,no,cellular,1,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,unknown,no
blue-collar,married,primary,yes,yes,cellular,3,unknown,no
management,single,tertiary,no,no,cellular,1,unknown,no
blue-collar,married,secondary,yes,no,cellular,7,unknown,no
services,married,secondary,yes,no,unknown,4,unknown,no
entrepreneur,married,tertiary,yes,yes,cellular,1,unknown,no
management,married,primary,no,yes,unknown,3,unknown,no
student,single,tertiary,no,no,cellular,4,unknown,yes
admin.,single,secondary,yes,no,cellular,2,unknown,no
admin.,single,secondary,yes,no,unknown,11,unknown,no
management,married,tertiary,yes,no,cellular,5,unknown,no
services,married,unknown,no,yes,cellular,1,success,no
blue-collar,married,primary,yes,no,unknown,8,unknown,no
entrepreneur,married,secondary,no,no,cellular,13,unknown,no
blue-collar,divorced,unknown,yes,no,unknown,4,unknown,no
unemployed,divorced,secondary,yes,yes,cellular,1,unknown,no
entrepreneur,married,primary,yes,no,unknown,1,unknown,no
management,married,tertiary,yes,no,cellular,4,unknown,no
technician,single,secondary,yes,no,unknown,4,unknown,no
unknown,single,unknown,no,no,telephone,1,unknown,no
management,married,tertiary,no,no,cellular,4,unknown,no
blue-collar,married,primary,yes,no,cellular,2,other,no
blue-collar,married,secondary,yes,no,cellular,1,unknown,no
blue-collar,married,secondary,yes,no,telephone,1,unknown,no
management,divorced,unknown,no,no,cellular,2,unknown,yes
blue-collar,single,primary,yes,no,cellular,1,other,no
management,married,secondary,yes,no,cellular,1,unknown,no
admin.,married,secondary,yes,yes,cellular,2,unknown,no
management,married,tertiary,yes,no,unknown,1,unknown,no
management,married,tertiary,no,no,cellular,2,failure,no
blue-collar,married,primary,yes,no,unknown,2,unknown,no
technician,single,tertiary,yes,no,cellular,1,unknown,no
blue-collar,married,primary,yes,no,telephone,1,other,no
blue-collar,married,secondary,yes,no,unknown,2,unknown,no
services,single,tertiary,yes,no,unknown,4,unknown,no
blue-collar,married,secondary,yes,no,cellular,2,unknown,no
management,single,tertiary,no,no,cellular,2,unknown,no
admin.,single,secondary,yes,no,unknown,5,unknown,no
management,single,tertiary,yes,no,cellular,1,unknown,no
blue-collar,married,secondary,yes,no,unknown,11,unknown,no
blue-collar,married,unknown,no,no,cellular,2,unknown,no
retired,married,secondary,no,no,cellular,2,failure,no
self-employed,single,secondary,yes,yes,unknown,1,unknown,no
services,married,secondary,yes,no,cellular,1,unknown,no
unemployed,divorced,secondary,yes,no,cellular,1,unknown,no
technician,single,secondary,no,no,cellular,2,unknown,no
technician,married,secondary,no,yes,cellular,3,unknown,no
self-employed,single,tertiary,yes,no,cellular,2,unknown,no
services,single,primary,yes,no,cellular,7,unknown,no
student,married,tertiary,yes,no,cellular,1,unknown,no
management,married,secondary,yes,yes,cellular,2,failure,no
blue-collar,married,primary,yes,no,cellular,1,unknown,no
admin.,divorced,secondary,yes,no,unknown,4,unknown,no
technician,married,unknown,no,no,cellular,3,success,no
management,single,tertiary,yes,no,cellular,3,unknown,yes
services,married,secondary,yes,yes,cellular,2,unknown,no
blue-collar,single,unknown,no,no,unknown,6,unknown,no
management,divorced,tertiary,no,yes,cellular,2,unknown,no
blue-collar,married,primary,yes,no,unknown,4,unknown,no
management,single,secondary,no,no,cellular,3,unknown,no
blue-collar,married,primary,yes,no,cellular,5,unknown,no
management,divorced,tertiary,no,no,cellular,3,unknown,yes
management,divorced,tertiary,yes,yes,unknown,4,unknown,no
self-employed,married,primary,yes,no,unknown,3,unknown,no
admin.,single,secondary,yes,no,unknown,1,unknown,no
management,married,tertiary,yes,no,cellular,1,unknown,no
retired,married,primary,no,no,cellular,3,unknown,no
management,married,tertiary,no,no,cellular,2,unknown,no
blue-collar,married,primary,yes,no,cellular,6,unknown,no
blue-collar,married,secondary,yes,no,cellular,4,unknown,no
blue-collar,married,primary,yes,no,cellular,2,unknown,no
self-employed,married,secondary,yes,no,telephone,5,other,no
blue-collar,single,primary,no,yes,cellular,4,unknown,no
blue-collar,married,primary,no,yes,cellular,2,unknown,no
technician,married,secondary,no,no,unknown,3,unknown,no
services,married,secondary,yes,no,cellular,1,failure,no
